Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Burundi,Ngozi,Ngozi,BDI,BDI014006,BDI014,January,2024,2,1
Burundi,Rutana,Giharo,BDI,BDI015002,BDI015,January,2024,2,1
Burundi,Rutana,Gitanga,BDI,BDI015003,BDI015,January,2024,0,0
Burundi,Ruyigi,Gisuru,BDI,BDI016004,BDI016,January,2024,0,0
Burundi,Bubanza,Bubanza,BDI,BDI001001,BDI001,February,2024,0,0
Burundi,Bubanza,Gihanga,BDI,BDI001002,BDI001,February,2024,4,1
Burundi,Bubanza,Rugazi,BDI,BDI001005,BDI001,February,2024,0,0
Burundi,Bujumbura Mairie,Muha,BDI,BDI017014,BDI017,February,2024,1,0
Burundi,Bujumbura Rural,Mugongomanga,BDI,BDI002006,BDI002,February,2024,0,0
Burundi,Cibitoke,Bukinanvana,BDI,BDI005002,BDI005,February,2024,0,0
Burundi,Cibitoke,Mabayi,BDI,BDI005003,BDI005,February,2024,2,0
Burundi,Karuzi,Gihogazi,BDI,BDI007003,BDI007,February,2024,0,0
Burundi,Karuzi,Shombo,BDI,BDI007007,BDI007,February,2024,0,0
Burundi,Kayanza,Matongo,BDI,BDI008006,BDI008,February,2024,0,0
Burundi,Kirundo,Gitobe,BDI,BDI009004,BDI009,February,2024,0,0
Burundi,Makamba,Kayogoro,BDI,BDI010001,BDI010,February,2024,0,0
Burundi,Makamba,Makamba,BDI,BDI010004,BDI010,February,2024,0,0
Burundi,Muramvya,Mbuye,BDI,BDI011003,BDI011,February,2024,1,1
Burundi,Mwaro,Gisozi,BDI,BDI013002,BDI013,February,2024,0,0
Burundi,Rutana,Mpinga-Kayove,BDI,BDI015004,BDI015,February,2024,0,0
Burundi,Ruyigi,Ruyigi,BDI,BDI016007,BDI016,February,2024,0,0
Burundi,Bubanza,Mpanda,BDI,BDI001003,BDI001,February,2024,0,0
Burundi,Bujumbura Mairie,Mukaza,BDI,BDI017015,BDI017,February,2024,2,0
Burundi,Bujumbura Rural,Mukike,BDI,BDI002008,BDI002,February,2024,1,0
Burundi,Gitega,Gitega,BDI,BDI006006,BDI006,February,2024,1,0
Burundi,Kayanza,Gatara,BDI,BDI008003,BDI008,February,2024,0,0
Burundi,Kayanza,Muhanga,BDI,BDI008007,BDI008,February,2024,0,0
Burundi,Kayanza,Rango,BDI,BDI008009,BDI008,February,2024,0,0
Burundi,Muramvya,Muramvya,BDI,BDI011004,BDI011,February,2024,0,0
Burundi,Muyinga,Mwakiro,BDI,BDI012007,BDI012,February,2024,0,0
Burundi,Ngozi,Busiga,BDI,BDI014001,BDI014,February,2024,0,0
Burundi,Ngozi,Gashikanwa,BDI,BDI014002,BDI014,February,2024,0,0
Burundi,Ngozi,Ruhororo,BDI,BDI014008,BDI014,February,2024,0,0
Burundi,Rumonge,Bugarama,BDI,BDI018002,BDI018,February,2024,0,0
Burundi,Rumonge,Burambi,BDI,BDI018003,BDI018,February,2024,0,0
Burundi,Rumonge,Buyengero,BDI,BDI018004,BDI018,February,2024,0,0
Burundi,Rumonge,Rumonge,BDI,BDI018005,BDI018,February,2024,1,0
Burundi,Ruyigi,Nyabitsinda,BDI,BDI016006,BDI016,February,2024,0,0
Burundi,Bujumbura Rural,Kabezi,BDI,BDI002003,BDI002,February,2024,0,0
Burundi,Bujumbura Rural,Kanyosha,BDI,BDI002004,BDI002,February,2024,0,0
Burundi,Bujumbura Rural,Mutambu,BDI,BDI002009,BDI002,February,2024,0,0
Burundi,Bururi,Bururi,BDI,BDI003002,BDI003,February,2024,0,0
Burundi,Bururi,Vyanda,BDI,BDI003009,BDI003,February,2024,0,0
Burundi,Cankuzo,Mishiha,BDI,BDI004005,BDI004,February,2024,0,0
Burundi,Cibitoke,Mugina,BDI,BDI005004,BDI005,February,2024,0,0
Burundi,Gitega,Bukirasazi,BDI,BDI006002,BDI006,February,2024,0,0
Burundi,Gitega,Giheta,BDI,BDI006004,BDI006,February,2024,0,0
Burundi,Gitega,Makebuko,BDI,BDI006008,BDI006,February,2024,0,0
Burundi,Gitega,Mutaho,BDI,BDI006009,BDI006,February,2024,0,0
Burundi,Kayanza,Butaganzwa,BDI,BDI008001,BDI008,February,2024,0,0
Burundi,Kirundo,Ntega,BDI,BDI009006,BDI009,February,2024,0,0
Burundi,Ngozi,Kiremba,BDI,BDI014003,BDI014,February,2024,0,0
Burundi,Ngozi,Marangara,BDI,BDI014004,BDI014,February,2024,1,2
Burundi,Bubanza,Musigati,BDI,BDI001004,BDI001,February,2024,0,0
Burundi,Cankuzo,Kigamba,BDI,BDI004004,BDI004,February,2024,0,0
Burundi,Cibitoke,Murwi,BDI,BDI005005,BDI005,February,2024,1,1
Burundi,Cibitoke,Rugombo,BDI,BDI005006,BDI005,February,2024,2,2
Burundi,Gitega,Bugendana,BDI,BDI006001,BDI006,February,2024,0,0
Burundi,Gitega,Ryansoro,BDI,BDI006010,BDI006,February,2024,0,0
Burundi,Karuzi,Nyabikere,BDI,BDI007006,BDI007,February,2024,0,0
Burundi,Kayanza,Gahombo,BDI,BDI008002,BDI008,February,2024,0,0
Burundi,Kirundo,Vumbi,BDI,BDI009007,BDI009,February,2024,0,0
Burundi,Makamba,Kibago,BDI,BDI010002,BDI010,February,2024,0,0
Burundi,Muyinga,Gashoho,BDI,BDI012003,BDI012,February,2024,0,0
Burundi,Muyinga,Gasorwe,BDI,BDI012004,BDI012,February,2024,0,0
Burundi,Ngozi,Mwumba,BDI,BDI014005,BDI014,February,2024,0,0
Burundi,Rumonge,Muhuta,BDI,BDI018001,BDI018,February,2024,0,0
Burundi,Rutana,Bukemba,BDI,BDI015001,BDI015,February,2024,0,0
Burundi,Ruyigi,Butezi,BDI,BDI016002,BDI016,February,2024,0,0
Burundi,Bururi,Rutovu,BDI,BDI003007,BDI003,February,2024,0,0
Burundi,Cankuzo,Gisagara,BDI,BDI004003,BDI004,February,2024,0,0
Burundi,Cibitoke,Buganda,BDI,BDI005001,BDI005,February,2024,1,0
Burundi,Gitega,Itaba,BDI,BDI006007,BDI006,February,2024,0,0
Burundi,Karuzi,Bugenyuzi,BDI,BDI007001,BDI007,February,2024,0,0
Burundi,Karuzi,Mutumba,BDI,BDI007005,BDI007,February,2024,0,0
Burundi,Kayanza,Kayanza,BDI,BDI008005,BDI008,February,2024,0,0
Burundi,Kayanza,Muruta,BDI,BDI008008,BDI008,February,2024,0,0
Burundi,Kirundo,Kirundo,BDI,BDI009005,BDI009,February,2024,0,0
Burundi,Mwaro,Rusaka,BDI,BDI013006,BDI013,February,2024,0,0
Burundi,Ruyigi,Butaganzwa,BDI,BDI016001,BDI016,February,2024,0,0
Burundi,Bujumbura Mairie,Ntahangwa,BDI,BDI017016,BDI017,February,2024,1,0
Burundi,Bujumbura Rural,Mutimbuzi,BDI,BDI002010,BDI002,February,2024,0,0
Burundi,Bujumbura Rural,Nyabiraba,BDI,BDI002012,BDI002,February,2024,0,0
Burundi,Bururi,Matana,BDI,BDI003004,BDI003,February,2024,0,0
Burundi,Cankuzo,Cendajuru,BDI,BDI004002,BDI004,February,2024,0,0
Burundi,Gitega,Buraza,BDI,BDI006003,BDI006,February,2024,0,0
Burundi,Karuzi,Gitaramuka,BDI,BDI007004,BDI007,February,2024,0,0
Burundi,Kirundo,Bugabira,BDI,BDI009001,BDI009,February,2024,1,1
Burundi,Kirundo,Busoni,BDI,BDI009002,BDI009,February,2024,0,0
Burundi,Makamba,Vugizo,BDI,BDI010006,BDI010,February,2024,1,1
Burundi,Mwaro,Bisoro,BDI,BDI013001,BDI013,February,2024,0,0
Burundi,Mwaro,Kayokwe,BDI,BDI013003,BDI013,February,2024,0,0
Burundi,Rutana,Musongati,BDI,BDI015005,BDI015,February,2024,0,0
Burundi,Rutana,Rutana,BDI,BDI015006,BDI015,February,2024,0,0
Burundi,Ruyigi,Bweru,BDI,BDI016003,BDI016,February,2024,0,0
Burundi,Bujumbura Rural,Mubimbi,BDI,BDI002005,BDI002,February,2024,0,0
Burundi,Bururi,Mugamba,BDI,BDI003005,BDI003,February,2024,0,0
Burundi,Bururi,Songa,BDI,BDI003008,BDI003,February,2024,1,1
Burundi,Cankuzo,Cankuzo,BDI,BDI004001,BDI004,February,2024,1,0
Burundi,Gitega,Gishubi,BDI,BDI006005,BDI006,February,2024,0,0
Burundi,Gitega,Nyarusange,BDI,BDI006011,BDI006,February,2024,0,0
Burundi,Makamba,Mabanda,BDI,BDI010003,BDI010,February,2024,0,0
Burundi,Makamba,Nyanza Lac,BDI,BDI010005,BDI010,February,2024,0,0
Burundi,Muyinga,Butihinda,BDI,BDI012002,BDI012,February,2024,0,0
Burundi,Mwaro,Ndava,BDI,BDI013004,BDI013,February,2024,0,0
Burundi,Ngozi,Nvamurenza,BDI,BDI014007,BDI014,February,2024,0,0
Burundi,Ngozi,Tangara,BDI,BDI014009,BDI014,February,2024,0,0
Burundi,Ruyigi,Kinyinya,BDI,BDI016005,BDI016,February,2024,0,0
Burundi,Bujumbura Rural,Isare,BDI,BDI002002,BDI002,February,2024,0,0
Burundi,Karuzi,Buhiga,BDI,BDI007002,BDI007,February,2024,1,0
Burundi,Kayanza,Kabarore,BDI,BDI008004,BDI008,February,2024,0,0
Burundi,Kirundo,Bwambarangwe,BDI,BDI009003,BDI009,February,2024,0,0
Burundi,Muramvya,Bukeye,BDI,BDI011001,BDI011,February,2024,0,0
Burundi,Muramvya,Kiganda,BDI,BDI011002,BDI011,February,2024,0,0
Burundi,Muramvya,Rutegama,BDI,BDI011005,BDI011,February,2024,0,0
Burundi,Muyinga,Buhinvuza,BDI,BDI012001,BDI012,February,2024,0,0
Burundi,Muyinga,Giteranyi,BDI,BDI012005,BDI012,February,2024,0,0
Burundi,Muyinga,Muyinga,BDI,BDI012006,BDI012,February,2024,1,1
Burundi,Mwaro,Nyabihanga,BDI,BDI013005,BDI013,February,2024,0,0
Burundi,Ngozi,Ngozi,BDI,BDI014006,BDI014,February,2024,0,0
Burundi,Rutana,Giharo,BDI,BDI015002,BDI015,February,2024,1,0
Burundi,Rutana,Gitanga,BDI,BDI015003,BDI015,February,2024,0,0
Burundi,Ruyigi,Gisuru,BDI,BDI016004,BDI016,February,2024,0,0
Burundi,Bubanza,Bubanza,BDI,BDI001001,BDI001,March,2024,0,0
Burundi,Bubanza,Gihanga,BDI,BDI001002,BDI001,March,2024,1,0
Burundi,Bubanza,Rugazi,BDI,BDI001005,BDI001,March,2024,0,0
Burundi,Bujumbura Mairie,Muha,BDI,BDI017014,BDI017,March,2024,2,2
Burundi,Bujumbura Rural,Mugongomanga,BDI,BDI002006,BDI002,March,2024,0,0
Burundi,Cibitoke,Bukinanvana,BDI,BDI005002,BDI005,March,2024,0,0
Burundi,Cibitoke,Mabayi,BDI,BDI005003,BDI005,March,2024,0,0
Burundi,Karuzi,Gihogazi,BDI,BDI007003,BDI007,March,2024,0,0
Burundi,Karuzi,Shombo,BDI,BDI007007,BDI007,March,2024,0,0
Burundi,Kayanza,Matongo,BDI,BDI008006,BDI008,March,2024,0,0
Burundi,Kirundo,Gitobe,BDI,BDI009004,BDI009,March,2024,0,0
Burundi,Makamba,Kayogoro,BDI,BDI010001,BDI010,March,2024,0,0
Burundi,Makamba,Makamba,BDI,BDI010004,BDI010,March,2024,0,0
Burundi,Muramvya,Mbuye,BDI,BDI011003,BDI011,March,2024,0,0
Burundi,Mwaro,Gisozi,BDI,BDI013002,BDI013,March,2024,0,0
Burundi,Rutana,Mpinga-Kayove,BDI,BDI015004,BDI015,March,2024,0,0
Burundi,Ruyigi,Ruyigi,BDI,BDI016007,BDI016,March,2024,0,0
Burundi,Bubanza,Mpanda,BDI,BDI001003,BDI001,March,2024,0,0
Burundi,Bujumbura Mairie,Mukaza,BDI,BDI017015,BDI017,March,2024,2,0
Burundi,Bujumbura Rural,Mukike,BDI,BDI002008,BDI002,March,2024,0,0
Burundi,Gitega,Gitega,BDI,BDI006006,BDI006,March,2024,1,0
Burundi,Kayanza,Gatara,BDI,BDI008003,BDI008,March,2024,2,4
Burundi,Kayanza,Muhanga,BDI,BDI008007,BDI008,March,2024,0,0
Burundi,Kayanza,Rango,BDI,BDI008009,BDI008,March,2024,0,0
Burundi,Muramvya,Muramvya,BDI,BDI011004,BDI011,March,2024,0,0
Burundi,Muyinga,Mwakiro,BDI,BDI012007,BDI012,March,2024,0,0
Burundi,Ngozi,Busiga,BDI,BDI014001,BDI014,March,2024,0,0
Burundi,Ngozi,Gashikanwa,BDI,BDI014002,BDI014,March,2024,0,0
Burundi,Ngozi,Ruhororo,BDI,BDI014008,BDI014,March,2024,1,1
Burundi,Rumonge,Bugarama,BDI,BDI018002,BDI018,March,2024,0,0
Burundi,Rumonge,Burambi,BDI,BDI018003,BDI018,March,2024,0,0
Burundi,Rumonge,Buyengero,BDI,BDI018004,BDI018,March,2024,0,0
Burundi,Rumonge,Rumonge,BDI,BDI018005,BDI018,March,2024,2,0
Burundi,Ruyigi,Nyabitsinda,BDI,BDI016006,BDI016,March,2024,0,0
Burundi,Bujumbura Rural,Kabezi,BDI,BDI002003,BDI002,March,2024,0,0
Burundi,Bujumbura Rural,Kanyosha,BDI,BDI002004,BDI002,March,2024,0,0
Burundi,Bujumbura Rural,Mutambu,BDI,BDI002009,BDI002,March,2024,0,0
Burundi,Bururi,Bururi,BDI,BDI003002,BDI003,March,2024,0,0
Burundi,Bururi,Vyanda,BDI,BDI003009,BDI003,March,2024,0,0
Burundi,Cankuzo,Mishiha,BDI,BDI004005,BDI004,March,2024,0,0
Burundi,Cibitoke,Mugina,BDI,BDI005004,BDI005,March,2024,0,0
Burundi,Gitega,Bukirasazi,BDI,BDI006002,BDI006,March,2024,0,0
Burundi,Gitega,Giheta,BDI,BDI006004,BDI006,March,2024,0,0
Burundi,Gitega,Makebuko,BDI,BDI006008,BDI006,March,2024,0,0
Burundi,Gitega,Mutaho,BDI,BDI006009,BDI006,March,2024,0,0
Burundi,Kayanza,Butaganzwa,BDI,BDI008001,BDI008,March,2024,0,0
Burundi,Kirundo,Ntega,BDI,BDI009006,BDI009,March,2024,0,0
Burundi,Ngozi,Kiremba,BDI,BDI014003,BDI014,March,2024,0,0
Burundi,Ngozi,Marangara,BDI,BDI014004,BDI014,March,2024,0,0
Burundi,Bubanza,Musigati,BDI,BDI001004,BDI001,March,2024,0,0
Burundi,Cankuzo,Kigamba,BDI,BDI004004,BDI004,March,2024,0,0
Burundi,Cibitoke,Murwi,BDI,BDI005005,BDI005,March,2024,0,0
Burundi,Cibitoke,Rugombo,BDI,BDI005006,BDI005,March,2024,2,2
Burundi,Gitega,Bugendana,BDI,BDI006001,BDI006,March,2024,1,1
Burundi,Gitega,Ryansoro,BDI,BDI006010,BDI006,March,2024,0,0
Burundi,Karuzi,Nyabikere,BDI,BDI007006,BDI007,March,2024,0,0
Burundi,Kayanza,Gahombo,BDI,BDI008002,BDI008,March,2024,0,0
Burundi,Kirundo,Vumbi,BDI,BDI009007,BDI009,March,2024,0,0
Burundi,Makamba,Kibago,BDI,BDI010002,BDI010,March,2024,1,0
Burundi,Muyinga,Gashoho,BDI,BDI012003,BDI012,March,2024,0,0
Burundi,Muyinga,Gasorwe,BDI,BDI012004,BDI012,March,2024,0,0
Burundi,Ngozi,Mwumba,BDI,BDI014005,BDI014,March,2024,0,0
Burundi,Rumonge,Muhuta,BDI,BDI018001,BDI018,March,2024,0,0
Burundi,Rutana,Bukemba,BDI,BDI015001,BDI015,March,2024,0,0
Burundi,Ruyigi,Butezi,BDI,BDI016002,BDI016,March,2024,0,0
Burundi,Bururi,Rutovu,BDI,BDI003007,BDI003,March,2024,0,0
Burundi,Cankuzo,Gisagara,BDI,BDI004003,BDI004,March,2024,0,0
Burundi,Cibitoke,Buganda,BDI,BDI005001,BDI005,March,2024,1,0
Burundi,Gitega,Itaba,BDI,BDI006007,BDI006,March,2024,0,0
Burundi,Karuzi,Bugenyuzi,BDI,BDI007001,BDI007,March,2024,0,0
Burundi,Karuzi,Mutumba,BDI,BDI007005,BDI007,March,2024,0,0
Burundi,Kayanza,Kayanza,BDI,BDI008005,BDI008,March,2024,1,0
Burundi,Kayanza,Muruta,BDI,BDI008008,BDI008,March,2024,0,0
Burundi,Kirundo,Kirundo,BDI,BDI009005,BDI009,March,2024,0,0
Burundi,Mwaro,Rusaka,BDI,BDI013006,BDI013,March,2024,0,0
Burundi,Ruyigi,Butaganzwa,BDI,BDI016001,BDI016,March,2024,0,0
Burundi,Bujumbura Mairie,Ntahangwa,BDI,BDI017016,BDI017,March,2024,1,0
Burundi,Bujumbura Rural,Mutimbuzi,BDI,BDI002010,BDI002,March,2024,0,0
Burundi,Bujumbura Rural,Nyabiraba,BDI,BDI002012,BDI002,March,2024,0,0
Burundi,Bururi,Matana,BDI,BDI003004,BDI003,March,2024,0,0
Burundi,Cankuzo,Cendajuru,BDI,BDI004002,BDI004,March,2024,1,0
Burundi,Gitega,Buraza,BDI,BDI006003,BDI006,March,2024,0,0
Burundi,Karuzi,Gitaramuka,BDI,BDI007004,BDI007,March,2024,0,0
Burundi,Kirundo,Bugabira,BDI,BDI009001,BDI009,March,2024,0,0
Burundi,Kirundo,Busoni,BDI,BDI009002,BDI009,March,2024,0,0
Burundi,Makamba,Vugizo,BDI,BDI010006,BDI010,March,2024,0,0
Burundi,Mwaro,Bisoro,BDI,BDI013001,BDI013,March,2024,0,0
Burundi,Mwaro,Kayokwe,BDI,BDI013003,BDI013,March,2024,0,0
Burundi,Rutana,Musongati,BDI,BDI015005,BDI015,March,2024,0,0
Burundi,Rutana,Rutana,BDI,BDI015006,BDI015,March,2024,0,0
Burundi,Ruyigi,Bweru,BDI,BDI016003,BDI016,March,2024,0,0
Burundi,Bujumbura Rural,Mubimbi,BDI,BDI002005,BDI002,March,2024,0,0
Burundi,Bururi,Mugamba,BDI,BDI003005,BDI003,March,2024,0,0
Burundi,Bururi,Songa,BDI,BDI003008,BDI003,March,2024,0,0
Burundi,Cankuzo,Cankuzo,BDI,BDI004001,BDI004,March,2024,0,0
Burundi,Gitega,Gishubi,BDI,BDI006005,BDI006,March,2024,0,0
Burundi,Gitega,Nyarusange,BDI,BDI006011,BDI006,March,2024,0,0
Burundi,Makamba,Mabanda,BDI,BDI010003,BDI010,March,2024,0,0
Burundi,Makamba,Nyanza Lac,BDI,BDI010005,BDI010,March,2024,0,0
Burundi,Muyinga,Butihinda,BDI,BDI012002,BDI012,March,2024,0,0
Burundi,Mwaro,Ndava,BDI,BDI013004,BDI013,March,2024,0,0
Burundi,Ngozi,Nvamurenza,BDI,BDI014007,BDI014,March,2024,0,0
Burundi,Ngozi,Tangara,BDI,BDI014009,BDI014,March,2024,0,0
Burundi,Ruyigi,Kinyinya,BDI,BDI016005,BDI016,March,2024,0,0
Burundi,Bujumbura Rural,Isare,BDI,BDI002002,BDI002,March,2024,0,0
Burundi,Karuzi,Buhiga,BDI,BDI007002,BDI007,March,2024,0,0
Burundi,Kayanza,Kabarore,BDI,BDI008004,BDI008,March,2024,1,1
Burundi,Kirundo,Bwambarangwe,BDI,BDI009003,BDI009,March,2024,0,0
Burundi,Muramvya,Bukeye,BDI,BDI011001,BDI011,March,2024,0,0
Burundi,Muramvya,Kiganda,BDI,BDI011002,BDI011,March,2024,0,0
Burundi,Muramvya,Rutegama,BDI,BDI011005,BDI011,March,2024,0,0
Burundi,Muyinga,Buhinvuza,BDI,BDI012001,BDI012,March,2024,0,0
Burundi,Muyinga,Giteranyi,BDI,BDI012005,BDI012,March,2024,1,0
Burundi,Muyinga,Muyinga,BDI,BDI012006,BDI012,March,2024,0,0
Burundi,Mwaro,Nyabihanga,BDI,BDI013005,BDI013,March,2024,0,0
Burundi,Ngozi,Ngozi,BDI,BDI014006,BDI014,March,2024,1,0
Burundi,Rutana,Giharo,BDI,BDI015002,BDI015,March,2024,0,0
Burundi,Rutana,Gitanga,BDI,BDI015003,BDI015,March,2024,0,0
Burundi,Ruyigi,Gisuru,BDI,BDI016004,BDI016,March,2024,0,0
Burundi,Bubanza,Bubanza,BDI,BDI001001,BDI001,April,2024,0,0
Burundi,Bubanza,Gihanga,BDI,BDI001002,BDI001,April,2024,1,0
Burundi,Bubanza,Rugazi,BDI,BDI001005,BDI001,April,2024,0,0
Burundi,Bujumbura Mairie,Muha,BDI,BDI017014,BDI017,April,2024,0,0
Burundi,Bujumbura Rural,Mugongomanga,BDI,BDI002006,BDI002,April,2024,0,0
Burundi,Cibitoke,Bukinanvana,BDI,BDI005002,BDI005,April,2024,0,0
Burundi,Cibitoke,Mabayi,BDI,BDI005003,BDI005,April,2024,2,0
Burundi,Karuzi,Gihogazi,BDI,BDI007003,BDI007,April,2024,0,0
Burundi,Karuzi,Shombo,BDI,BDI007007,BDI007,April,2024,0,0
Burundi,Kayanza,Matongo,BDI,BDI008006,BDI008,April,2024,0,0
Burundi,Kirundo,Gitobe,BDI,BDI009004,BDI009,April,2024,0,0
Burundi,Makamba,Kayogoro,BDI,BDI010001,BDI010,April,2024,0,0
Burundi,Makamba,Makamba,BDI,BDI010004,BDI010,April,2024,1,0
Burundi,Muramvya,Mbuye,BDI,BDI011003,BDI011,April,2024,0,0
Burundi,Mwaro,Gisozi,BDI,BDI013002,BDI013,April,2024,0,0
Burundi,Rutana,Mpinga-Kayove,BDI,BDI015004,BDI015,April,2024,0,0
Burundi,Ruyigi,Ruyigi,BDI,BDI016007,BDI016,April,2024,1,1
Burundi,Bubanza,Mpanda,BDI,BDI001003,BDI001,April,2024,0,0
Burundi,Bujumbura Mairie,Mukaza,BDI,BDI017015,BDI017,April,2024,1,1
Burundi,Bujumbura Rural,Mukike,BDI,BDI002008,BDI002,April,2024,0,0
Burundi,Gitega,Gitega,BDI,BDI006006,BDI006,April,2024,1,1
Burundi,Kayanza,Gatara,BDI,BDI008003,BDI008,April,2024,0,0
Burundi,Kayanza,Muhanga,BDI,BDI008007,BDI008,April,2024,0,0
Burundi,Kayanza,Rango,BDI,BDI008009,BDI008,April,2024,0,0
Burundi,Muramvya,Muramvya,BDI,BDI011004,BDI011,April,2024,0,0
Burundi,Muyinga,Mwakiro,BDI,BDI012007,BDI012,April,2024,0,0
Burundi,Ngozi,Busiga,BDI,BDI014001,BDI014,April,2024,0,0
Burundi,Ngozi,Gashikanwa,BDI,BDI014002,BDI014,April,2024,0,0
Burundi,Ngozi,Ruhororo,BDI,BDI014008,BDI014,April,2024,0,0
Burundi,Rumonge,Bugarama,BDI,BDI018002,BDI018,April,2024,0,0
Burundi,Rumonge,Burambi,BDI,BDI018003,BDI018,April,2024,0,0
Burundi,Rumonge,Buyengero,BDI,BDI018004,BDI018,April,2024,0,0
Burundi,Rumonge,Rumonge,BDI,BDI018005,BDI018,April,2024,1,1
Burundi,Ruyigi,Nyabitsinda,BDI,BDI016006,BDI016,April,2024,0,0
Burundi,Bujumbura Rural,Kabezi,BDI,BDI002003,BDI002,April,2024,0,0
Burundi,Bujumbura Rural,Kanyosha,BDI,BDI002004,BDI002,April,2024,0,0
Burundi,Bujumbura Rural,Mutambu,BDI,BDI002009,BDI002,April,2024,0,0
Burundi,Bururi,Bururi,BDI,BDI003002,BDI003,April,2024,0,0
Burundi,Bururi,Vyanda,BDI,BDI003009,BDI003,April,2024,0,0
Burundi,Cankuzo,Mishiha,BDI,BDI004005,BDI004,April,2024,0,0
Burundi,Cibitoke,Mugina,BDI,BDI005004,BDI005,April,2024,0,0
Burundi,Gitega,Bukirasazi,BDI,BDI006002,BDI006,April,2024,0,0
Burundi,Gitega,Giheta,BDI,BDI006004,BDI006,April,2024,0,0
Burundi,Gitega,Makebuko,BDI,BDI006008,BDI006,April,2024,0,0
Burundi,Gitega,Mutaho,BDI,BDI006009,BDI006,April,2024,0,0
Burundi,Kayanza,Butaganzwa,BDI,BDI008001,BDI008,April,2024,0,0
Burundi,Kirundo,Ntega,BDI,BDI009006,BDI009,April,2024,1,0
Burundi,Ngozi,Kiremba,BDI,BDI014003,BDI014,April,2024,0,0
Burundi,Ngozi,Marangara,BDI,BDI014004,BDI014,April,2024,0,0
Burundi,Bubanza,Musigati,BDI,BDI001004,BDI001,April,2024,0,0
Burundi,Cankuzo,Kigamba,BDI,BDI004004,BDI004,April,2024,0,0
Burundi,Cibitoke,Murwi,BDI,BDI005005,BDI005,April,2024,0,0
Burundi,Cibitoke,Rugombo,BDI,BDI005006,BDI005,April,2024,2,2
Burundi,Gitega,Bugendana,BDI,BDI006001,BDI006,April,2024,1,1
Burundi,Gitega,Ryansoro,BDI,BDI006010,BDI006,April,2024,0,0
Burundi,Karuzi,Nyabikere,BDI,BDI007006,BDI007,April,2024,0,0
Burundi,Kayanza,Gahombo,BDI,BDI008002,BDI008,April,2024,0,0
Burundi,Kirundo,Vumbi,BDI,BDI009007,BDI009,April,2024,0,0
Burundi,Makamba,Kibago,BDI,BDI010002,BDI010,April,2024,0,0
Burundi,Muyinga,Gashoho,BDI,BDI012003,BDI012,April,2024,0,0
Burundi,Muyinga,Gasorwe,BDI,BDI012004,BDI012,April,2024,0,0
Burundi,Ngozi,Mwumba,BDI,BDI014005,BDI014,April,2024,0,0
Burundi,Rumonge,Muhuta,BDI,BDI018001,BDI018,April,2024,1,0
Burundi,Rutana,Bukemba,BDI,BDI015001,BDI015,April,2024,0,0
Burundi,Ruyigi,Butezi,BDI,BDI016002,BDI016,April,2024,1,0
Burundi,Bururi,Rutovu,BDI,BDI003007,BDI003,April,2024,0,0
Burundi,Cankuzo,Gisagara,BDI,BDI004003,BDI004,April,2024,1,0
Burundi,Cibitoke,Buganda,BDI,BDI005001,BDI005,April,2024,0,0
Burundi,Gitega,Itaba,BDI,BDI006007,BDI006,April,2024,0,0
Burundi,Karuzi,Bugenyuzi,BDI,BDI007001,BDI007,April,2024,1,0
Burundi,Karuzi,Mutumba,BDI,BDI007005,BDI007,April,2024,0,0
Burundi,Kayanza,Kayanza,BDI,BDI008005,BDI008,April,2024,0,0
Burundi,Kayanza,Muruta,BDI,BDI008008,BDI008,April,2024,0,0
Burundi,Kirundo,Kirundo,BDI,BDI009005,BDI009,April,2024,0,0
Burundi,Mwaro,Rusaka,BDI,BDI013006,BDI013,April,2024,0,0
Burundi,Ruyigi,Butaganzwa,BDI,BDI016001,BDI016,April,2024,0,0
Burundi,Bujumbura Mairie,Ntahangwa,BDI,BDI017016,BDI017,April,2024,2,1
Burundi,Bujumbura Rural,Mutimbuzi,BDI,BDI002010,BDI002,April,2024,1,0
Burundi,Bujumbura Rural,Nyabiraba,BDI,BDI002012,BDI002,April,2024,0,0
Burundi,Bururi,Matana,BDI,BDI003004,BDI003,April,2024,0,0
Burundi,Cankuzo,Cendajuru,BDI,BDI004002,BDI004,April,2024,0,0
Burundi,Gitega,Buraza,BDI,BDI006003,BDI006,April,2024,0,0
Burundi,Karuzi,Gitaramuka,BDI,BDI007004,BDI007,April,2024,0,0
Burundi,Kirundo,Bugabira,BDI,BDI009001,BDI009,April,2024,0,0
Burundi,Kirundo,Busoni,BDI,BDI009002,BDI009,April,2024,0,0
Burundi,Makamba,Vugizo,BDI,BDI010006,BDI010,April,2024,0,0
Burundi,Mwaro,Bisoro,BDI,BDI013001,BDI013,April,2024,0,0
Burundi,Mwaro,Kayokwe,BDI,BDI013003,BDI013,April,2024,0,0
Burundi,Rutana,Musongati,BDI,BDI015005,BDI015,April,2024,0,0
Burundi,Rutana,Rutana,BDI,BDI015006,BDI015,April,2024,0,0
Burundi,Ruyigi,Bweru,BDI,BDI016003,BDI016,April,2024,0,0
Burundi,Bujumbura Rural,Mubimbi,BDI,BDI002005,BDI002,April,2024,0,0
Burundi,Bururi,Mugamba,BDI,BDI003005,BDI003,April,2024,0,0
